---,Cost,KillBonus,BaseDamage,ArmourDamage,ArmourPenetration,HelmetDamage,HelmetBleed,Weight,FalloffModifier,MinFalloffDist,MaxFalloffDist
1911,10,800,999,999,999,999,999,0,0.8,2250,3000
57,10,300,999,999,999,999,999,0,0.85,2500,3000
sock,10,600,999,999,999,999,999,0,0.85,1250,2000
m9,10,400,999,999,999,999,999,0,0.85,1500,2000
de,10,600,999,999,999,999,999,0,0.85,2500,3500
revolver,10,600,999,999,999,999,999,0,0.68,1000,3500
cet9,10,500,999,999,999,999,999,0,0.8,2250,3000
smg,10,800,999,999,999,999,999,0,0.8,2250,3000
uzi,10,600,999,999,999,999,999,0,0.85,1250,2000
ak,10,600,999,999,999,999,999,0,0.85,2000,3000
mp5,10,400,999,999,999,999,999,0,0.85,1500,2500
p90,10,300,999,999,999,999,999,0,0.8,1500,2500
vanas,10,200,999,999,999,999,999,0,0.75,1000,3500
kross,10,100,999,999,999,999,999,0,0.8,1500,2500
ar9,10,400,999,999,999,999,999,0,0.8,2000,3000
shotgun,10,600,999,999,999,999,999,0,0.67,750,1500
sawedoff,10,600,999,999,999,999,999,0,0.33,250,500
drumshotgun,10,100,999,999,999,999,999,0,0.67,500,1100
autoshotgun,10,100,999,999,999,999,999,0,0.67,500,1000
ak47,10,300,999,999,999,999,999,0,1,500,4000
ak12,10,300,999,999,999,999,999,0,1,500,4000
ar,10,300,999,999,999,999,999,0,1,500,4000
aug,10,300,999,999,999,999,999,0,1,500,4000
galul,10,300,999,999,999,999,999,0,1,500,4000
m16,10,300,999,999,999,999,999,0,1,500,4000
sks,10,100,999,999,999,999,999,0,1,500,4000
akshorty,10,400,999,999,999,999,999,0,1,500,4000
vzz,10,200,999,999,999,999,999,0,0.8,2000,3500
lmga,10,100,999,999,999,999,999,0,1,500,4000
awp,10,0,999,999,999,999,999,0,1,500,4000
autosniper,10,100,999,999,999,999,999,0,1,500,4000
antitank,10,0,999,999,999,999,999,0,1,500,4000
scur,10,100,999,999,999,999,999,0,1,500,4000
luger,10,400,999,999,999,999,999,0,1,500,4000
tokarev,10,800,999,999,999,999,999,0,0.8,2250,3000
webley,10,600,999,999,999,999,999,0,1,500,4000
sten,10,400,999,999,999,999,999,0,1,500,4000
mp40,10,400,999,999,999,999,999,0,1,500,4000
thompson,10,400,999,999,999,999,999,0,1,500,4000
stg44,10,300,999,999,999,999,999,0,1,500,4000
ppsh,10,100,999,999,999,999,999,0,0.8,1500,2500
m1garand,10,400,999,999,999,999,999,0,1,500,4000
g43,10,100,999,999,999,999,999,0,1,500,4000
svt40,10,400,999,999,999,999,999,0,1,500,4000
mosin,10,800,999,999,999,999,999,0,1,500,4000
springfield,10,800,999,999,999,999,999,0,1,500,4000
kar98,10,800,999,999,999,999,999,0,1,500,4000
leeenfield,10,800,999,999,999,999,999,0,1,500,4000
bar,10,100,999,999,999,999,999,0,1,500,4000
bren,10,100,999,999,999,999,999,0,1,500,4000
dp27,10,100,999,999,999,999,999,0,1,500,4000
mg42,10,100,999,999,999,999,999,0,1,500,4000
rl_m1a1,10,150,999,999,999,999,999,0,1,500,4000
rl_piat,10,150,999,999,999,999,999,0,1,500,4000
rl_panzer,10,150,999,999,999,999,999,0,1,500,4000
rl_rpg,10,150,999,999,999,999,999,0,1,500,4000
smoke,10,0,999,999,999,999,999,0,1,500,4000
smoke_ru,10,0,999,999,999,999,999,0,1,500,4000
flash,10,1200,999,999,999,999,999,0,1,500,4000
flash_ru,10,1200,999,999,999,999,999,0,1,500,4000
grenade_us,10,0,999,999,999,999,999,0,1,500,4000
smoke_us,10,0,999,999,999,999,999,0,1,500,4000
grenade_ger,10,0,999,999,999,999,999,0,1,500,4000
smoke_ger,10,0,999,999,999,999,999,0,1,500,4000
grenade_svt,10,0,999,999,999,999,999,0,1,500,4000
smoke_svt,10,0,999,999,999,999,999,0,1,500,4000
grenade,10,0,999,999,999,999,999,0,1,500,4000
grenade_ru,10,0,999,999,999,999,999,0,1,500,4000
armour,10,0,999,999,999,999,999,0,1,500,4000
kevlarhelmet,10,0,999,999,999,999,999,0,1,500,4000
supp_pistol,10,-50,999,999,999,999,999,0,1,500,4000
supp_rifle,10,-200,999,999,999,999,999,0,1,500,4000
scope,10,0,999,999,999,999,999,0,1,500,4000
grip_angled,10,-100,999,999,999,999,999,0,1,500,4000
grip_vertical,10,-150,999,999,999,999,999,0,1,500,4000
flashlight_rifle,10,-100,999,999,999,999,999,0,1,500,4000
laser_rifle,10,-100,999,999,999,999,999,0,1,500,4000
laser_pistol,10,-100,999,999,999,999,999,0,1,500,4000
acog,10,-50,999,999,999,999,999,0,1,500,4000
holo,10,-150,999,999,999,999,999,0,1,500,4000
reddot,10,-150,999,999,999,999,999,0,1,500,4000
painkillers,10,0,999,999,999,999,999,0,1,500,4000
knife,10,1200,999,999,999,999,999,0,1,500,4000
taser,10,500,999,999,999,999,999,0,1,500,4000
newtonlauncher,10,0,999,999,999,999,999,0,1,500,4000
tttknife,10,0,999,999,999,999,999,0,1,500,4000
healthstation,10,0,999,999,999,999,999,0,1,500,4000
monocular,10,0,999,999,999,999,999,0,1,500,4000
teleporter,10,0,999,999,999,999,999,0,1,500,4000
ballisticsshield,10,0,999,999,999,999,999,0,1,500,4000
flaregun,10,0,999,999,999,999,999,0,1,500,4000
dnascanner,10,0,999,999,999,999,999,0,1,500,4000
silentcet9,10,500,999,999,999,999,999,0,1,500,2000
detectivesmg,10,0,999,999,999,999,999,0,0.75,500,2000
tttc4,10,0,999,999,999,999,999,0,1,500,4000
goldengun,10,0,999,999,999,999,999,0,1,500,4000
grenade_dis,10,0,999,999,999,999,999,0,1,500,4000
trenchgun,10,600,999,999,999,999,999,0,0.67,750,1500
tranqgun,10,0,999,999,999,999,999,0,1,500,4000
hunting,10,800,999,999,999,999,999,0,1,500,4000
skorpion,10,600,999,999,999,999,999,0,0.85,1250,2000
pkm,10,100,999,999,999,999,999,0,1,500,4000
gas,10,0,999,999,999,999,999,0,1,500,4000
thompson_drum,10,400,999,999,999,999,999,0,1,500,4000
ppsh_drum,10,100,999,999,999,999,999,0,0.8,1500,2500
